Sensor,el75,std,moda,media,mediana,iqr,cv,V40,V60,Vmax,V100,V120,difBA,difBC,difBD,difBE,slopeAB,slopeBC,slopeAD,slopeDE,slopeEC,slopeBE,slopeDB,asimetria,Met,IsoB,Prop,Hidro,Etan,CO,Air,class,target
S1-TGS2611-c00,0.00368634254439823,0.0014503448179538575,0.0042882200449803065,0.0024038537980630285,0.002488745074385984,0.002410084258652731,60.334152564624056,0.0014589702890364653,0.003231947221438103,0.0045622408221005495,0.003932479006008016,0.0026608888873244085,0.003103270533064084,0.001901351934776141,0.0013302936006624466,0.0006297618160925333,6.86716205590636e-05,-5.462085420212987e-05,8.864884662008188e-05,1.7513294614247833e-05,-6.357950593418038e-05,-4.25227424775512e-05,5.281038509973985e-05,-0.15999758929583954,65.4250197614156,1.000000000514428,0.0,171.7929937358707,302.6735721023697,0.0,0.0,1,1
S2-TGS2600,0.01579580898796057,0.008601653585893354,0.02237677495435142,0.009319033892544496,0.0063541276574942684,0.013157528523792261,92.30198843653667,0.00401695147515263,0.0123477810029482,0.026444446935925625,0.018705899299890527,0.006474685643685585,0.022427495460772995,0.01996976129224004,0.014096665932977426,0.007738547636035098,0.0004897902481059837,-0.0005837404645495482,0.00041654147638977846,0.0001589529574235582,-0.0006115606828102471,-0.0005445846330777693,0.0005465942587428237,0.7191360576092489,2.0555481052504548e-07,0.0037682465537988738,0.0,0.0068975936133979145,0.0036982839287676367,0.002725895915626591,0.0,1,1
S3-TGS2620,0.0499251620922547,0.021869838745582817,0.06263638736211996,0.029701108198086367,0.027040304304814355,0.037673456340754224,73.63307321641246,0.027291045323331486,0.050003753032550335,0.06446456921105348,0.0459036334613121,0.023502930278304635,0.03717352388772199,0.040961638932748845,0.014460816178503144,0.01856093574974138,0.0009068925076292266,-0.0010500291959176836,0.0011356353854609425,-0.00010250298928095592,-0.0011200351591503731,-0.0009763774723693517,0.0006889383601001976,0.11384042965679166,353.3173376160313,14.931141393829733,0.0,7.8718602299410305,14.7345852841757,36.89246476455225,0.0,1,1
S4-TGS2611-c00,0.014490257372199833,0.006115971341565543,0.017908101922921693,0.00882601245084968,0.008260536701097915,0.01045299468040431,69.2948415337524,0.008389008809006837,0.014616795090899914,0.018309953122329414,0.013250864564901377,0.007274150087608455,0.009920944313322577,0.011035803034720959,0.0036931580314295,0.0050590885574280375,0.0002450220872640795,-0.0002793167055105279,0.00031138931409465385,-3.414826314996344e-05,-0.0002988357238646461,-0.00025930746065751085,0.00018024197322740365,0.0362211599798064,81.90454489860491,1.0000000005390974,0.0,224.43451757707516,391.4491294642657,0.0,0.0,1,1
S5-TGS2611-e00,0.004683850807457715,0.0020197842729310377,0.00585814926228434,0.0027926176519756066,0.0025831882060927958,0.0037061591867913746,72.32584351467389,0.00284522396144532,0.004770235611553875,0.005970552818770014,0.004183505451682945,0.002068760658679558,0.003125328857324694,0.003901792160090456,0.0012003172072161394,0.001787047367087069,7.821143286598335e-05,-9.744735664561577e-05,9.625058250542773e-05,-1.4668253996773239e-05,-0.00010573723965016935,-8.917402031372597e-05,6.013613262605911e-05,0.12133545330413038,48.02393864619473,144740240789698.72,0.0,91.41649528139587,0.0,0.0,0.0,1,1
S6-TGS2610-c00,0.07889593235020893,0.04140995248165536,0.1249445256114996,0.04794507107354784,0.0344872451436469,0.06049483862633338,86.36957158355737,0.034613173507592576,0.07934214340138573,0.12907135201503006,0.06808259361233665,0.032581141562101235,0.09445817850743748,0.09649021045292883,0.04972920861364433,0.06098875840269341,0.0023816989033645358,-0.0023919239081043337,0.002236448494689658,-0.00028148874472622707,-0.0017750726025117709,-0.002998464031597512,0.0025294612723115125,0.6214963954356849,111.52811818032636,99.93459311436912,99.93459311436912,225.53583507690837,447.9771301539836,0.0,5.281189097520923e+176,1,1
S7-TGS2620,0.040623709800432284,0.01866012709896816,0.05309282990789177,0.023801953994472606,0.020244951809109513,0.031007041955406683,78.39745889476761,0.01813104920018027,0.039724710105142225,0.055243014123239176,0.038331199738609656,0.018594479182083012,0.037111964923058904,0.03664853494115616,0.015518304018096951,0.01691181438462952,0.0008931880847908281,-0.000953147852825908,0.0010796830452480977,-3.483775916331422e-05,-0.0009868360278263322,-0.0009166295059419793,0.000720106914992898,0.25897582248358103,340.6670026039749,14.517892424471691,0.0,7.646771402083396,14.389597036982178,35.88915675337704,0.0,1,1
S8-TGS2600,0.03329102553584615,0.015123216408092149,0.038062342577439234,0.019983460289458403,0.01970636993165098,0.028036185877243824,75.67866720294627,0.007625892779014043,0.02607586343731283,0.04395981768521651,0.03898283428865834,0.02311837407139683,0.036333924906202464,0.020841443613819677,0.017883954247903677,0.004976983396558166,0.0007488442890808423,-0.0006620534820146021,0.0009224985329149393,0.0003226742712836378,-0.0007932230108630755,-0.0004335351390730108,0.0006270671194917139,0.0389667341444698,3.451991594180343e-07,0.004386834058016536,0.0,0.007860921442793014,0.004281539811523547,0.003350380716770434,0.0,1,1
S9-TGS2611-c00,0.008664776072873054,0.0038359406018697523,0.009995681755798569,0.005257382937077967,0.005328742891667015,0.006977679336564679,72.96292942286135,0.0023137635498511333,0.00721439071851937,0.01124436015024366,0.009828590333682663,0.005921107089601696,0.008930596600392526,0.005323253060641964,0.0040299694317242896,0.0014157698165609967,0.0001869107702049503,-0.00016521579952333843,0.00024503135843341185,6.535499037908232e-05,-0.00019537416220404835,-0.00011585677713265113,0.00014506729415854173,0.0065582002157398315,75.07925003957246,1.0000000005295426,0.0,202.36177163804842,354.3332442668428,0.0,0.0,1,1
S10-TGS2600,0.04649426610486718,0.020542812711845444,0.05463892079514232,0.028213905690064295,0.027113267248996265,0.03397081879386335,72.81094981146026,0.01636666427881106,0.03988418697439022,0.060886266358180174,0.05198102681562722,0.02907910786780077,0.044519602079369114,0.031807158490379406,0.02100207938378995,0.008905239542552956,0.0009496502150036075,-0.000960361065530779,0.0011758761347789581,0.00030242099603092486,-0.0011450959473913226,-0.000678753013914097,0.0007813273580279001,0.05526131385146936,4.401821543530413e-07,0.004710882821923799,0.0,0.008357839642234523,0.004585852575505555,0.003690608358021646,0.0,1,1
