Sensor,el75,std,moda,media,mediana,iqr,cv,V40,V60,Vmax,V100,V120,difBA,difBC,difBD,difBE,slopeAB,slopeBC,slopeAD,slopeDE,slopeEC,slopeBE,slopeDB,asimetria,Met,IsoB,Prop,Hidro,Etan,CO,Air,class,target
S1-TGS2611-c00,0.005704120455746947,0.002565261295795555,0.0072102577895991615,0.003595915786685677,0.0034968108972495138,0.0044324180099395705,71.33819165881893,0.0030034766785072,0.004896286829148888,0.00794205796919134,0.006253609002772331,0.003495657205404734,0.004938581290684141,0.0044464007637866065,0.0030457711400424525,0.0016884489664190094,0.00011040870312282898,-0.00012606750109970532,9.464050753208442e-05,3.3933054340586076e-05,-0.00013789758986837986,-0.00011057295130445383,0.00012316098423139718,0.15619340041641183,70.11793828541434,1.0000000005220353,0.0,186.55274585428228,327.65667891800797,0.0,0.0,1,1
S2-TGS2600,0.14907131640366444,0.06832699353387735,0.1709046829822421,0.07192461882556961,0.03837784603128103,0.1400126725676336,94.99806137253621,0.03724377620583047,0.14791049337642354,0.17957850290642358,0.13704624353688394,0.023643129376667182,0.1423347267005931,0.1559353735297564,0.03166800953000004,0.04253225936953964,0.0031206912234289213,-0.004534323161667822,0.005533335858529653,-0.0002716062459884899,-0.005670155708010838,-0.002955681679606646,0.001236548595470521,0.4268718222058499,1.0960576871995594e-06,0.006155578099322261,0.0,0.010519792082188248,0.005933920974954374,0.005305762886911252,0.0,1,1
S3-TGS2620,0.14385901350513053,0.05556725157670922,0.1722590689008775,0.09173219216122183,0.08817057973328163,0.09485236538599912,60.57551909263027,0.10969628681770993,0.15066440540041603,0.1731619314829238,0.11968364054669967,0.06928732329534693,0.06346564466521387,0.10387460818757688,0.02249752608250777,0.05347829093622414,0.0016758818237447549,-0.0024655734200706597,0.0020484059291353053,-0.0007745191213429092,-0.002519815862567637,-0.0024165517820254924,0.0012589550130110668,-0.11350359608249673,431.2358184797567,17.406750405826465,0.0,9.224484859122116,16.771689849019182,42.89306979421055,0.0,1,1
S4-TGS2611-c00,0.038939381791748634,0.01691845810727331,0.054837654656286317,0.02605168109837498,0.023551053180656645,0.026028354566708017,64.94190545088712,0.029835288612684363,0.04048564724805703,0.05585239401489883,0.03263003951057941,0.019375796101852583,0.02601710540221447,0.03647659791304625,0.015366746766841799,0.02322235450431942,0.0006691642335960512,-0.0008870767974962609,0.0005325179317686335,-0.00019639019343694052,-0.0006627121704363415,-0.0010995433003939117,0.0008139166719725532,0.17667762979375423,97.81170100353174,1.000000000558588,0.0,277.2073030954374,479.65299614018505,0.0,0.0,1,1
S5-TGS2611-e00,0.01322657047029116,0.005646212658364015,0.01849478842698732,0.008898201975767593,0.008144565561798989,0.00871849393576575,63.45341085469068,0.010293148679170527,0.013920837525822904,0.01873131168036013,0.010903309717218257,0.006733176760934156,0.008438163001189602,0.011998134919425973,0.004810474154537225,0.007828001963141873,0.00022043268028186004,-0.0002875871265442467,0.00018138444233261887,-7.543819521511619e-05,-0.00020850664781420502,-0.00036040524692181736,0.0002631550412766534,0.1374864334662641,57.854099639336596,3.038121496349782e+17,0.0,115.49294625124271,0.0,0.0,0.0,1,1
S6-TGS2610-c00,0.20350414698115912,0.08215906173534525,0.22760299811982593,0.12042885291234898,0.12323464707059367,0.15371342961118273,68.22207448504271,0.1577313271024609,0.20763575706689336,0.23002021272383638,0.17422617649041444,0.08182907476740359,0.07228888562137548,0.1481911379564328,0.022384455656943025,0.05579403623342194,0.0018273226901257703,-0.0036644692867564984,0.0024952214982216225,-0.0008352395144119729,-0.004619855086150542,-0.0027296495221830696,0.0011443995734633447,-0.11733386874108054,131.17655678897523,115.67713153187084,115.67713153187084,266.4674625993334,527.4270160590364,0.0,6.700682881591876e+197,1,1
S7-TGS2620,0.10506249182268595,0.04371723810386069,0.12828383133140342,0.0634248898564237,0.058937031940423434,0.07939266643364848,68.92757433686421,0.07508323418400797,0.10914174485761441,0.1298388944054525,0.08731819835933008,0.04436380015768182,0.05475566022144451,0.08547509424777067,0.02069714954783808,0.04252069604612241,0.0014029121245566106,-0.0020862849462477584,0.0017029255336803218,-0.0005455886624571082,-0.002147719910082413,-0.002027691752318665,0.001087606387169631,0.03833733778550446,405.49763105534447,16.601375445006013,0.0,8.783685257783846,16.114257960664354,40.94269348145759,0.0,1,1
S8-TGS2600,0.07993594837930876,0.0332764136265698,0.09334745293697122,0.05019261167989778,0.04985289056792952,0.05389300109576908,66.29743405023305,0.040367580476425524,0.073790837432133,0.10066801347222643,0.0846729185871764,0.0490069748637143,0.0603004329958009,0.05166103860851212,0.02687717604009343,0.01599509488505002,0.0013226679753411033,-0.0015013379427059612,0.0016711628477853735,0.0002720520288760853,-0.001783297186173105,-0.0011099996450416394,0.0010502999624889967,-0.08097375218376622,6.636960915962305e-07,0.00531362433696191,0.0,0.009269720446812043,0.00514988989633987,0.00434569120481753,0.0,1,1
S9-TGS2611-c00,0.019638548804697287,0.008294751377695008,0.023430487233475183,0.012260682111977018,0.012212317072665846,0.013754332147675408,67.65326188167104,0.009966312644759445,0.018184072838200116,0.02499249338538978,0.02048435194521192,0.011976846342314218,0.015026180740630335,0.013015647043075562,0.006808420547189664,0.00450814144017786,0.00033819898133311574,-0.0003659164195410617,0.00041088800967203356,5.7506977675295114e-05,-0.0004253752801448851,-0.0002895402337943392,0.000278690976143662,-0.04745320215091342,86.36911878728674,1.0000000005449259,0.0,239.0648278335001,415.97358271933064,0.0,0.0,1,1
S10-TGS2600,0.12867384185699415,0.051843664581175786,0.15305397322243075,0.08221049953327549,0.08068542730870532,0.08214932133579594,63.06209653937398,0.07504373996463043,0.1242378127591236,0.1602574298144539,0.1279390723420577,0.07544197446911383,0.08521368984982347,0.08481545534534007,0.0360196170553303,0.0323183574723962,0.0019670750196173472,-0.0023123079428936768,0.0024597036397246584,9.253148957335256e-05,-0.002624854893647194,-0.0019375514072179968,0.0015445804912234268,-0.11698819812899376,9.705030736544396e-07,0.0059398725876025505,0.0,0.010201944595687872,0.005733451313975446,0.005055032992900205,0.0,1,1
